"","CODE_CIRCO","NOM.x","PRENOM.x","CIVILITE.x","CODE_NUANCE","SCORE_2024","NOM.y","PRENOM.y","CIVILITE.y","SCORE_2022","DIFF_2024_2022","FLOURISH_CODE_CIRCO","circo_name","classe","classe_num","colour_categ","changement","text_color","popup_html"
"1","0101","BRETON","Xavier","M.","LR",26.78,"BRETON","Xavier","M.",25.35,1.43,"0101","1ère circonscription de l'Ain","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 25,35% à 26,78%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  1,43 points.</span>"
"2","0102","DE LA VERPILLIÈRE","Charles","M.","LR",24.52,"NANCHI","Alexandre","M.",14.71,9.81,"0102","2e circonscription de l'Ain","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 14,71% à 24,52%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  9,81 points.</span>"
"3","0103","PERNOD BEAUDON","Stéphanie","Mme","LR",21.41,"BAUDE","Véronique","Mme",17.98,3.43,"0103","3e circonscription de l'Ain","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 17,98% à 21,41%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  3,43 points.</span>"
"4","0104","BILLOUDET","Guy","M.","LR",16.68,"REIHANIAN","Aurane","M.",16.07,0.609999999999999,"0104","4e circonscription de l'Ain","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 16,07% à 16,68%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  0,61 points.</span>"
"5","0105","ABAD","Damien","M.","LR",35,"MARTINEZ","Julien","M.",9.93,25.07,"0105","5e circonscription de l'Ain","Plus de 10 %",6,"#053061","une augmentation de","white","Entre 2022 et 2024, le taux est passé de  9,93% à 35,00%, soit une augmentation de<span style='background: #053061; display: inline-block; padding: 2px; padding-bottom:0; color:white'> 25,07 points.</span>"
"6","0201","COULON","Christophe","M.","LR",16.2,"MOUGENOT","Paul","M.",11.35,4.85,"0201","1ère circonscription de l'Aisne","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 11,35% à 16,20%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  4,85 points.</span>"
"7","0202","DIVE","Julien","M.","LR",36.48,"DIVE","Julien","M.",35.91,0.57,"0202","2e circonscription de l'Aisne","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 35,91% à 36,48%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  0,57 points.</span>"
"8","0203","MARLOT","Laurent","M.","LR",15.22,"MOINEUSE","Jérome","M.",12.17,3.05,"0203","3e circonscription de l'Aisne","Entre 0 et 5 %",4,"#92c5de","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,17% à 15,22%, soit une augmentation de<span style='background: #92c5de; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  3,05 points.</span>"
"9","0204","LÉTRILLART","Isabelle","Mme","LR",20.2,"BOBIN","David","M.",12.83,7.37,"0204","4e circonscription de l'Aisne","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,83% à 20,20%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  7,37 points.</span>"
"10","0301","PÉRISSOL","Pierre-André","M.","LR",20.25,"LITAUDON","Roger","M.",12.33,7.92,"0301","1ère circonscription de l'Allier","Entre 5 et 10 %",5,"#4393c3","une augmentation de","black","Entre 2022 et 2024, le taux est passé de 12,33% à 20,25%, soit une augmentation de<span style='background: #4393c3; display: inline-block; padding: 2px; padding-bottom:0; color:black'>  7,92 points.</span>"
