"Département","Circonscription","Première place","Seconde place","Troisième place","Quatrième place"
"Ain","1ère circonscription de l'Ain","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Christophe MAÎTRE (39.37%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Xavier BRETON (23.96%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Sébastien GUERAUD (23.45%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Ain","2e circonscription de l'Ain","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Andréa KOTARAC (39.2%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Modem</span> Romain DAUBIÉ (24.21%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Maxime MEYER (23.61%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Ain","3e circonscription de l'Ain","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> Olga GIVERNET (32.43%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Karine DUBARRY (32.11%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> <s>Christian JOLIE (25.12%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Ain","4e circonscription de l'Ain","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jérôme BUISSON (46.01%)</p>","<p style='margin:4px;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Horizons</span> Christophe COQUELET (21.87%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> <s>Charline LIOTIER (19.96%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Allier","2e circonscription de l'Allier","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jorys BOVET (34.33%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Louise HERITIER (24.06%)</p>","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Romain LEFEBVRE (19.67%)</p>","<i>Il n'y a pas de quatrième candidat</i>"
"Allier","3e circonscription de l'Allier","<p style='margin:4px;'><span style='background-color:#005CE6; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>LR</span> Nicolas RAY (40.05%)</p>","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Rémy QUENEY (37.82%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> <s>Aline JEUDI (20.4%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Alpes-de-Haute-Provence","1ère circonscription des Alpes-de-Haute-Provence","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Christian GIRARD (44.3%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-Ecologistes</span> Felix BLANC (27.26%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Benoit GAUVAN (19.35%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Alpes-de-Haute-Provence","2e circonscription des Alpes-de-Haute-Provence","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN-LR</span> Sophie VAGINAY (40.89%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-LFI</span> Léo WALTER (32.99%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Parti-radical</span> <s>Dominique BLANC (22.69%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Hautes-Alpes","1ère circonscription des Hautes-Alpes","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Jérôme SAINTE-MARIE (38.24%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Marie-José ALLEMAND (30.47%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Renaissance</span> <s>Pascale BOYER (22.58%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
"Hautes-Alpes","2e circonscription des Hautes-Alpes","<p style='margin:4px;'><span style='background-color:#002E61; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>RN</span> Louis ALBRAND (33.88%)</p>","<p style='margin:4px;'><span style='background-color:#C02631; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>NFP-PS</span> Valérie ROSSI (32.7%)</p>","<p style='padding:10px; background-color:#d3d3d3;'><span style='background-color:#9859FC; color:white; border-radius: 4px; padding: 4px 6px 0px 6px;'>ENS-Parti-radical</span> <s>Sébastien FINE (26.7%)</s></p>","<i>Il n'y a pas de quatrième candidat</i>"
