"code_entite","lat","long","surface_bv","type","date","nom_site","mesure_2024","moyenne_historique","rapport","rapport_categorie","colour_categ","rapport_label","popup_html"
"A1160030",47.7353337,7.3224824,666,"site",2024-02-13,"L'Ill à Brunstatt et à Didenheim et à Mulhouse",8261,8983.60476190476,-8.04359476019011,"inf à 0%","#feedde","-8,0%","Débit moyen au 13 février 2024: <span style='background: #feedde; display: inline-block; padding: 2px; padding-bottom:0'>-8,0%</span> par rapport à la moyenne 1990-2020 à cette période."
"A1250200",47.745487,7.232178,180,"site",2024-02-13,"La Doller à Reiningue",10484.1428571429,5124.33333333333,104.595255131911,"sup à 100%","#6baed6","+104,6%","Débit moyen au 13 février 2024: <span style='background: #6baed6; display: inline-block; padding: 2px; padding-bottom:0'>+104,6%</span> par rapport à la moyenne 1990-2020 à cette période."
"A1430200",47.8414983,7.0713261,159,"site",2024-02-13,"La Thur à Willer-sur-Thur",7270.42857142857,6967.51428571429,4.34752299446812,"0 et 15%","#eff3ff","+4,3%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+4,3%</span> par rapport à la moyenne 1990-2020 à cette période."
"A1520200",47.9110772,7.2120388,79.9,"site",2024-02-13,"La Lauch à Guebwiller",2837,2174.16666666667,30.4867765427365,"sup à 15%","#c6dbef","+30,5%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+30,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"A2140100",48.1597127,7.3697076,447,"site",2024-02-13,"La Fecht à Ostheim",11373.5714285714,9901.34285714286,14.8689788109546,"0 et 15%","#eff3ff","+14,9%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+14,9%</span> par rapport à la moyenne 1990-2020 à cette période."
"A2350200",48.271858,7.4597365,260,"site",2024-02-13,"Le Giessen à Sélestat",5347.57142857143,5134.59523809524,4.14786717550879,"0 et 15%","#eff3ff","+4,1%","Débit moyen au 13 février 2024: <span style='background: #eff3ff; display: inline-block; padding: 2px; padding-bottom:0'>+4,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"A2860110",48.5587133,7.6369415,680,"site",2024-02-13,"La Bruche à Holtzheim et à Oberschaeffolsheim",18292.7142857143,12928.1523809524,41.4951939510377,"sup à 15%","#c6dbef","+41,5%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+41,5%</span> par rapport à la moyenne 1990-2020 à cette période."
"A3020090",48.9581177,8.1958142,49300,"site",2024-02-13,"Le Rhin à Lauterbourg",1366174.28571429,1086564.45604396,25.7333863734465,"sup à 15%","#c6dbef","+25,7%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+25,7%</span> par rapport à la moyenne 1990-2020 à cette période."
"A3300100",48.8223881,7.7425935,622,"site",2024-02-13,"La Moder à Schweighouse-sur-Moder [aval]",12195,7254.5380952381,68.1016742886061,"sup à 50%","#9ecae1","+68,1%","Débit moyen au 13 février 2024: <span style='background: #9ecae1; display: inline-block; padding: 2px; padding-bottom:0'>+68,1%</span> par rapport à la moyenne 1990-2020 à cette période."
"A3480200",48.7496335,7.6336816,688,"site",2024-02-13,"La Zorn à Waltenheim-sur-Zorn",10856.4285714286,8749.51428571429,24.0803571137013,"sup à 15%","#c6dbef","+24,1%","Débit moyen au 13 février 2024: <span style='background: #c6dbef; display: inline-block; padding: 2px; padding-bottom:0'>+24,1%</span> par rapport à la moyenne 1990-2020 à cette période."
