,latitude,longitude,frp,fire_range,geometry,is_in_africa,index_right,CELLCODE,EOFORIGIN,NOFORIGIN
361,43.44591,4.90124,16.23,10-50,POINT (3907537.4409319134 2273765.8320989734),False,711907,1kmE3907N2273,3907000,2273000
23983,43.447,4.8953,4.66,0-5,POINT (3907064.3264837833 2273919.1428465415),False,711907,1kmE3907N2273,3907000,2273000
23984,43.44632,4.90104,4.66,0-5,POINT (3907524.1523828683 2273812.2877283082),False,711907,1kmE3907N2273,3907000,2273000
45519,43.44598,4.90007,15.6,10-50,POINT (3907443.22595197 2273780.0204190547),False,711907,1kmE3907N2273,3907000,2273000
93628,43.44728,4.89908,2.81,0-5,POINT (3907372.2893071235 2273929.2803258765),False,711907,1kmE3907N2273,3907000,2273000
93637,43.44639,4.90059,2.67,0-5,POINT (3907488.2209354565 2273822.509836016),False,711907,1kmE3907N2273,3907000,2273000
93851,43.44687,4.89601,3.67,0-5,POINT (3907120.878122695 2273900.8475250704),False,711907,1kmE3907N2273,3907000,2273000
93853,43.44485,4.89964,1.31,0-5,POINT (3907400.419604847 2273657.3894942026),False,711907,1kmE3907N2273,3907000,2273000
106660,43.44382,4.89515,1.69,0-5,POINT (3907029.6560817175 2273568.2012814833),False,711907,1kmE3907N2273,3907000,2273000
107131,43.44724,4.89941,2.34,0-5,POINT (3907398.718689253 2273923.037267075),False,711907,1kmE3907N2273,3907000,2273000
107132,43.44315,4.89759,2.34,0-5,POINT (3907222.4338544784 2273480.6340516144),False,711907,1kmE3907N2273,3907000,2273000
155807,43.44711,4.90018,7.93,5-10,POINT (3907460.127915399 2273904.414527337),False,711907,1kmE3907N2273,3907000,2273000
176828,43.44756,4.89853,2.06,0-5,POINT (3907329.7508114045 2273963.2845112705),False,711907,1kmE3907N2273,3907000,2273000
176829,43.44413,4.89731,3.66,0-5,POINT (3907206.7067279713 2273590.5841802014),False,711907,1kmE3907N2273,3907000,2273000
187972,43.44591,4.90124,16.23,10-50,POINT (3907537.4409319134 2273765.8320989734),False,711907,1kmE3907N2273,3907000,2273000
211594,43.447,4.8953,4.66,0-5,POINT (3907064.3264837833 2273919.1428465415),False,711907,1kmE3907N2273,3907000,2273000
211595,43.44632,4.90104,4.66,0-5,POINT (3907524.1523828683 2273812.2877283082),False,711907,1kmE3907N2273,3907000,2273000
233130,43.44598,4.90007,15.6,10-50,POINT (3907443.22595197 2273780.0204190547),False,711907,1kmE3907N2273,3907000,2273000
281239,43.44728,4.89908,2.81,0-5,POINT (3907372.2893071235 2273929.2803258765),False,711907,1kmE3907N2273,3907000,2273000
281248,43.44639,4.90059,2.67,0-5,POINT (3907488.2209354565 2273822.509836016),False,711907,1kmE3907N2273,3907000,2273000
281462,43.44687,4.89601,3.67,0-5,POINT (3907120.878122695 2273900.8475250704),False,711907,1kmE3907N2273,3907000,2273000
281464,43.44485,4.89964,1.31,0-5,POINT (3907400.419604847 2273657.3894942026),False,711907,1kmE3907N2273,3907000,2273000
294271,43.44382,4.89515,1.69,0-5,POINT (3907029.6560817175 2273568.2012814833),False,711907,1kmE3907N2273,3907000,2273000
294742,43.44724,4.89941,2.34,0-5,POINT (3907398.718689253 2273923.037267075),False,711907,1kmE3907N2273,3907000,2273000
294743,43.44315,4.89759,2.34,0-5,POINT (3907222.4338544784 2273480.6340516144),False,711907,1kmE3907N2273,3907000,2273000
343418,43.44711,4.90018,7.93,5-10,POINT (3907460.127915399 2273904.414527337),False,711907,1kmE3907N2273,3907000,2273000
364439,43.44756,4.89853,2.06,0-5,POINT (3907329.7508114045 2273963.2845112705),False,711907,1kmE3907N2273,3907000,2273000
364440,43.44413,4.89731,3.66,0-5,POINT (3907206.7067279713 2273590.5841802014),False,711907,1kmE3907N2273,3907000,2273000
375583,43.44591,4.90124,16.23,10-50,POINT (3907537.4409319134 2273765.8320989734),False,711907,1kmE3907N2273,3907000,2273000
407828,43.447,4.8953,4.66,0-5,POINT (3907064.3264837833 2273919.1428465415),False,711907,1kmE3907N2273,3907000,2273000
407829,43.44632,4.90104,4.66,0-5,POINT (3907524.1523828683 2273812.2877283082),False,711907,1kmE3907N2273,3907000,2273000
429364,43.44598,4.90007,15.6,10-50,POINT (3907443.22595197 2273780.0204190547),False,711907,1kmE3907N2273,3907000,2273000
477473,43.44728,4.89908,2.81,0-5,POINT (3907372.2893071235 2273929.2803258765),False,711907,1kmE3907N2273,3907000,2273000
477482,43.44639,4.90059,2.67,0-5,POINT (3907488.2209354565 2273822.509836016),False,711907,1kmE3907N2273,3907000,2273000
477696,43.44687,4.89601,3.67,0-5,POINT (3907120.878122695 2273900.8475250704),False,711907,1kmE3907N2273,3907000,2273000
477698,43.44485,4.89964,1.31,0-5,POINT (3907400.419604847 2273657.3894942026),False,711907,1kmE3907N2273,3907000,2273000
537324,43.44785,4.90002,5.86,5-10,POINT (3907452.4139156803 2273987.1544969142),False,711907,1kmE3907N2273,3907000,2273000
542196,43.44382,4.89515,1.69,0-5,POINT (3907029.6560817175 2273568.2012814833),False,711907,1kmE3907N2273,3907000,2273000
542667,43.44724,4.89941,2.34,0-5,POINT (3907398.718689253 2273923.037267075),False,711907,1kmE3907N2273,3907000,2273000
542668,43.44315,4.89759,2.34,0-5,POINT (3907222.4338544784 2273480.6340516144),False,711907,1kmE3907N2273,3907000,2273000
591343,43.44711,4.90018,7.93,5-10,POINT (3907460.127915399 2273904.414527337),False,711907,1kmE3907N2273,3907000,2273000
612364,43.44756,4.89853,2.06,0-5,POINT (3907329.7508114045 2273963.2845112705),False,711907,1kmE3907N2273,3907000,2273000
612365,43.44413,4.89731,3.66,0-5,POINT (3907206.7067279713 2273590.5841802014),False,711907,1kmE3907N2273,3907000,2273000
