,time,latitude,longitude,frpfire,fire_range
948219,2022-07-21T00:00:00,63.65,141.95,1.7799802006608454,1-5
951819,2022-07-21T00:00:00,63.55,141.95,1.0916911621323369,1-5
1034654,2022-07-21T00:00:00,61.25,145.45,1.273545852884654,1-5
1034655,2022-07-21T00:00:00,61.25,145.55,4.826187025166777,1-5
1034696,2022-07-21T00:00:00,61.25,149.65,1.3326627028196185,1-5
1041893,2022-07-21T00:00:00,61.05,149.35,1.1798034194163538,1-5
1044763,2022-07-21T00:00:00,60.95,76.35,1.3760150594385916,1-5
1049043,2022-07-21T00:00:00,60.85,144.35,2.346375924799644,1-5
1052634,2022-07-21T00:00:00,60.75,143.45,1.1437702918369475,1-5
1052643,2022-07-21T00:00:00,60.75,144.35,2.184508359501528,1-5
1052676,2022-07-21T00:00:00,60.75,147.65,1.3363223173394019,1-5
1056234,2022-07-21T00:00:00,60.65,143.45,1.6454189898564993,1-5
1060737,2022-07-21T00:00:00,60.55,233.75,1.8343114008391694,1-5
1060738,2022-07-21T00:00:00,60.55,233.85,8.578699451990921,5-10
1064338,2022-07-21T00:00:00,60.45,233.85,5.857635302127292,5-10
1064339,2022-07-21T00:00:00,60.45,233.95,18.448116794228554,10-50
1066964,2022-07-21T00:00:00,60.35,136.45,1.3363223173394019,1-5
1067063,2022-07-21T00:00:00,60.35,146.35,1.1156194109155368,1-5
1077777,2022-07-21T00:00:00,60.05,137.75,1.3937501144190811,1-5
1095778,2022-07-21T00:00:00,59.55,137.85,1.5801089461188242,1-5
1099378,2022-07-21T00:00:00,59.45,137.85,2.862100063279901,1-5
1099379,2022-07-21T00:00:00,59.45,137.95,1.2932514695296424,1-5
1102977,2022-07-21T00:00:00,59.35,137.75,5.063498951334275,5-10
1102978,2022-07-21T00:00:00,59.35,137.85,2.517251771992611,1-5
1102979,2022-07-21T00:00:00,59.35,137.95,8.292968010638594,5-10
1113764,2022-07-21T00:00:00,59.05,136.45,1.4416066119854802,1-5
1117372,2022-07-21T00:00:00,58.95,137.25,2.114131157197999,1-5
1120963,2022-07-21T00:00:00,58.85,136.35,5.725044652987444,5-10
1120964,2022-07-21T00:00:00,58.85,136.45,2.294015286285818,1-5
1124562,2022-07-21T00:00:00,58.75,136.25,2.578902201210502,1-5
1128161,2022-07-21T00:00:00,58.65,136.15,3.4299033314647698,1-5
1128165,2022-07-21T00:00:00,58.65,136.55,1.3903720087085114,1-5
1128173,2022-07-21T00:00:00,58.65,137.35,1.3731999713464509,1-5
1128179,2022-07-21T00:00:00,58.65,137.95,2.367207576681488,1-5
1131761,2022-07-21T00:00:00,58.55,136.15,7.255045031066155,5-10
1131762,2022-07-21T00:00:00,58.55,136.25,2.074156906289595,1-5
1131763,2022-07-21T00:00:00,58.55,136.35,2.630418313296685,1-5
1135362,2022-07-21T00:00:00,58.45,136.25,1.4765137043280303,1-5
1135364,2022-07-21T00:00:00,58.45,136.45,1.7031282957453922,1-5
1138938,2022-07-21T00:00:00,58.35,133.85,1.0266626272038764,1-5
1138941,2022-07-21T00:00:00,58.35,134.15,1.8078495727730433,1-5
1140175,2022-07-21T00:00:00,58.35,257.55,1.9466334157156018,1-5
1174955,2022-07-21T00:00:00,57.35,135.55,1.3808007091952312,1-5
1174956,2022-07-21T00:00:00,57.35,135.65,1.220340687943187,1-5
1189349,2022-07-21T00:00:00,56.95,134.95,16.028830087842458,10-50
1189371,2022-07-21T00:00:00,56.95,137.15,1.1876856660743496,1-5
1192948,2022-07-21T00:00:00,56.85,134.85,2.7692021562392437,1-5
1192949,2022-07-21T00:00:00,56.85,134.95,6.562533360399434,5-10
